id,code,nom,nom_norm,lon,lat,epci_id,epci_nom,bassin_vie_id,bassin_vie_nom,zone_emploi_id,zone_emploi_nom,arr_dept_id,arr_dept_nom,dept_id,date,type,parent,date_debut,date_fin,old_type,old_nom,old_nom_norm,old_date_fin
29268,29268,Saint-Thonan,SAINT THONAN,-4.322687250918321,48.47710317924341,242900801,Communauté d'agglomération du Pays de Landerneau-Daoulas,29103,Landerneau,5302,Brest,291,Brest,29,2025-06-26 23:12:38.836042,,,1943-01-01,,,,,
29269,29269,Saint-Thurien,SAINT THURIEN,-3.6199627519592164,47.95674856771163,242900694,Communauté d'agglomération Quimperlé Communauté,29004,Bannalec,5314,Quimperlé,294,Quimper,29,2025-06-26 23:12:45.893917,,,1943-01-01,,,,,
29270,29270,Saint-Urbain,SAINT URBAIN,-4.222059725246574,48.39706583282294,242900801,Communauté d'agglomération du Pays de Landerneau-Daoulas,29103,Landerneau,5302,Brest,291,Brest,29,2025-06-26 23:12:37.408556,,,1943-01-01,,,,,
29271,29271,Saint-Vougay,SAINT VOUGAY,-4.1462819237636594,48.588845247325416,242900751,Communauté de communes du Pays de Landivisiau,29105,Landivisiau,5310,Morlaix,293,Morlaix,29,2025-06-26 23:12:35.014969,,,1943-01-01,,,,,
29273,29273,Santec,SANTEC,-4.031599331753822,48.69986316591888,200067072,Communauté de communes Haut-Léon Communauté,29259,Saint-Pol-de-Léon,5310,Morlaix,293,Morlaix,29,2025-06-26 23:12:40.867339,,,1943-01-01,,,,,
29274,29274,Scaër,SCAER,-3.729392593821953,48.024184633831595,242900694,Communauté d'agglomération Quimperlé Communauté,29274,Scaër,5314,Quimperlé,294,Quimper,29,2025-06-26 23:12:44.31408,,,1943-01-01,,,,,
29275,29275,Scrignac,SCRIGNAC,-3.6683297657592537,48.42657397980513,200067197,Communauté de communes Monts d'Arrée Communauté,29199,Plouigneau,5303,Carhaix-Plouguer,292,Châteaulin,29,2025-06-26 23:12:45.896444,,,1943-01-01,,,,,
29276,29276,Sibiril,SIBIRIL,-4.071760793405485,48.66430908110709,200067072,Communauté de communes Haut-Léon Communauté,29259,Saint-Pol-de-Léon,5310,Morlaix,293,Morlaix,29,2025-06-26 23:12:07.91692,,,1943-01-01,,,,,
29281,29281,Tourch,TOURCH,-3.8233945884725076,48.02711675938869,242900769,Communauté d'agglomération Concarneau Cornouaille Agglomération,29241,Rosporden,5313,Quimper,294,Quimper,29,2025-06-26 23:12:57.680568,,,1943-01-01,,,,,
29282,29282,Trébabu,TREBABU,-4.732272994285587,48.370600768614146,242900074,Communauté de communes du Pays d'Iroise,29019,Brest,5302,Brest,291,Brest,29,2025-06-26 23:12:28.784025,,,1943-01-01,,,,,
29284,29284,Treffiagat,TREFFIAGAT,-4.260084846628583,47.80497371400105,242900702,Communauté de communes du Pays Bigouden Sud,29220,Pont-l'Abbé,5313,Quimper,294,Quimper,29,2025-06-26 23:12:44.316067,,,1943-01-01,,,,,
29285,29285,Tréflaouénan,TREFLAOUENAN,-4.09875604057836,48.62695669242511,200067072,Communauté de communes Haut-Léon Communauté,29259,Saint-Pol-de-Léon,5310,Morlaix,293,Morlaix,29,2025-06-26 23:12:45.898437,,,1943-01-01,,,,,
29286,29286,Tréflévénez,TREFLEVENEZ,-4.175817147574635,48.41555710272985,242900801,Communauté d'agglomération du Pays de Landerneau-Daoulas,29103,Landerneau,5302,Brest,291,Brest,29,2025-06-26 23:12:37.409543,,,1943-01-01,,,,,
29287,29287,Tréflez,TREFLEZ,-4.257293946068846,48.62648061627868,200067072,Communauté de communes Haut-Léon Communauté,29124,Lesneven,5302,Brest,293,Morlaix,29,2025-06-26 23:12:54.268856,,,1943-01-01,,,,,
29289,29289,Trégarvan,TREGARVAN,-4.2310508803909235,48.23771889399058,200067247,Communauté de communes Pleyben-Châteaulin-Porzay,29026,Châteaulin,5302,Brest,292,Châteaulin,29,2025-06-26 23:11:58.615662,,,1943-01-01,,,,,
29290,29290,Tréglonou,TREGLONOU,-4.547495982890184,48.54756308214243,242900553,Communauté de communes du Pays des Abers,29019,Brest,5302,Brest,291,Brest,29,2025-06-26 23:12:32.206747,,,1943-01-01,,,,,
